Movie,Character
Snow White and the Seven Dwarfs,Snow White
Bambi,Faline
Bambi,Bambi's Mother
Cinderella,Cinderella
Peter Pan,Tiger Lily
Sleeping Beauty,Aurora
Robin Hood,Maid Marian
Nausicaä of the Valley of Wind,Nausicaä
Nausicaä of the Valley of Wind,Kushana
Nausicaä of the Valley of Wind,Lastelle
The Black Cauldron,Eilonwy
Castle in the Sky,Sheeta
Oliver & Company,Jenny
The Little Mermaid,Ariel
The Little Mermaid,Aquata
The Little Mermaid,Andrina
The Little Mermaid,Arista
The Little Mermaid,Attina
The Little Mermaid,Adella
The Little Mermaid,Alana
Beauty and the Beast,Belle
Aladdin,Jasmine
The Lion King,Nala
The Lion King,Kiara
Pocahontas,Pocahontas
Princess Mononoke,San
Princess Mononoke,Kaya
Mulan,Mulan
A Bug's Life,Dot
A Bug's Life,Atta
Tarzan,Tarzan
Atlantis: The Lost Empire,Kida
Tales from Earthsea,Therru
Ponyo,Ponyo
The Princess and the Frog,Tiana
The Princess and the Frog,Charlotte
Tangled,Rapunzel
Brave,Merida
Wreck-It Ralph,Vanellope von Schweetz
The Tale of The Princess Kaguya,Kaguya
Frozen,Anna
Frozen,Elsa
Moana,Moana
Ralph Breaks the Internet,Vanellope von Schweetz
Ralph Breaks the Internet,Cinderella
Ralph Breaks the Internet,Aurora
Ralph Breaks the Internet,Ariel
Ralph Breaks the Internet,Belle
Ralph Breaks the Internet,Jasmine
Ralph Breaks the Internet,Pocahontas
Ralph Breaks the Internet,Mulan
Ralph Breaks the Internet,Tiana
Ralph Breaks the Internet,Rapunzel
Ralph Breaks the Internet,Merida
Ralph Breaks the Internet,Snow White
Ralph Breaks the Internet,Anna
Ralph Breaks the Internet,Elsa
Ralph Breaks the Internet,Moana
Frozen II,Anna
Frozen II,Elsa
Raya and the Last Dragon,Raya
