Studio,Movie,Year,Movie Link,Character,Character Link,Image,Height,Width,Princess,Comment
Walt Disney Productions,Snow White and the Seven Dwarfs,1937,http://www.imdb.com/title/tt0029583/,Snow White,https://disney.fandom.com/wiki/Snow_White,https://matthewvaneerde.files.wordpress.com/2011/08/snow-white.jpg,171,202,Yes,Queen's Daughter; Queen? Prince's Girlfriend; Prince's Wife?
Walt Disney Productions,Bambi,1942,http://www.imdb.com/title/tt0034492/,Faline,https://disney.fandom.com/wiki/Faline,https://matthewvaneerde.files.wordpress.com/2011/08/faline.jpg,233,200,Yes,Prince's Wife
Walt Disney Productions,Bambi,1942,http://www.imdb.com/title/tt0034492/,Bambi's Mother,https://disney.fandom.com/wiki/Bambi's_mother,https://matthewvaneerde.files.wordpress.com/2011/08/bambis-mother.jpg,258,185,Yes,Prince's Wife
Walt Disney Productions,Cinderella,1950,http://www.imdb.com/title/tt0042332/,Cinderella,https://disney.fandom.com/wiki/Cinderella_(character),https://matthewvaneerde.files.wordpress.com/2011/08/cinderella.jpg,234,233,Yes,Prince's Wife
Walt Disney Productions,Peter Pan,1953,http://www.imdb.com/title/tt0046183/,Tiger Lily,https://disney.fandom.com/wiki/Tiger_Lily,https://matthewvaneerde.files.wordpress.com/2011/08/tiger-lily.jpg,229,173,Yes,Chief's Daughter
Walt Disney Productions,Sleeping Beauty,1959,http://www.imdb.com/title/tt0053285/,Aurora,https://disney.fandom.com/wiki/Aurora,https://matthewvaneerde.files.wordpress.com/2011/08/sleeping-beauty.jpg,265,189,Yes,King's Daughter; Prince's Girlfriend; Prince's Wife
Walt Disney Productions,Robin Hood,1973,http://www.imdb.com/title/tt0070608/,Maid Marian,https://disney.fandom.com/wiki/Maid_Marian,https://matthewvaneerde.files.wordpress.com/2011/08/maid-marian.jpg,233,200,No,Wealthy; Prince(?)'s Girlfriend
Studio Ghibli,Nausicaä of the Valley of Wind,1984,http://www.imdb.com/title/tt0087544/,Nausicaä,https://disney.fandom.com/wiki/Nausica%C3%A4,https://matthewvaneerde.files.wordpress.com/2011/08/nausicaa.jpg,577,259,Yes,King’s Daughter; Queen?
Studio Ghibli,Nausicaä of the Valley of Wind,1984,http://www.imdb.com/title/tt0087544/,Kushana,,https://matthewvaneerde.files.wordpress.com/2011/08/kushana.jpg,200,232,Yes,Royalty’s Daughter
Studio Ghibli,Nausicaä of the Valley of Wind,1984,http://www.imdb.com/title/tt0087544/,Lastelle,,https://matthewvaneerde.files.wordpress.com/2011/08/lastelle.jpg,200,300,Yes,Queen’s Daughter
Walt Disney Productions,The Black Cauldron,1985,http://www.imdb.com/title/tt0088814/,Eilonwy,https://disney.fandom.com/wiki/Eilonwy,https://matthewvaneerde.files.wordpress.com/2011/08/eilonwy.jpg,194,200,Yes,Queen’s Daughter; Prince(?)‘s Girlfriend(?)
Studio Ghibli,Castle in the Sky,1986,http://www.imdb.com/title/tt0092067/,Sheeta,https://disney.fandom.com/wiki/Sheeta,https://matthewvaneerde.files.wordpress.com/2011/08/sheeta.jpg,179,200,Yes,Queen’s Daughter; Queen?
Walt Disney Feature Animation,Oliver & Company,1988,http://www.imdb.com/title/tt0095776/,Jenny,https://disney.fandom.com/wiki/Jenny_Foxworth,https://matthewvaneerde.files.wordpress.com/2011/08/jenny.jpg,200,218,No,Wealthy
Walt Disney Feature Animation,The Little Mermaid,1989,http://www.imdb.com/title/tt0097757/,Ariel,https://disney.fandom.com/wiki/Ariel,https://matthewvaneerde.files.wordpress.com/2011/08/ariel.gif,198,171,Yes,King’s Daughter; Queen’s Daughter? Prince’s Wife
Walt Disney Feature Animation,The Little Mermaid,1989,http://www.imdb.com/title/tt0097757/,"Aquata, Andrina, Arista, Attina, Adella, Alana",,https://matthewvaneerde.files.wordpress.com/2011/08/ariels-sisters.jpg,200,265,Yes,King’s Daughter; Queen’s Daughter? Queen?
Walt Disney Feature Animation,Beauty and the Beast,1991,http://www.imdb.com/title/tt0101414/,Belle,https://disney.fandom.com/wiki/Belle,https://matthewvaneerde.files.wordpress.com/2011/08/belle.jpg,200,226,Maybe,Prince’s Girlfriend; Prince’s Wife?
