Start,End,President
1789-04-30,1797-03-04,George Washington
1797-03-04,1801-03-04,John Adams
1801-03-04,1809-03-04,Thomas Jefferson
1809-03-04,1817-03-04,James Madison
1817-03-04,1825-03-04,James Monroe
1825-03-04,1829-03-04,John Quincy Adams
1829-03-04,1837-03-04,Andrew Jackson
1837-03-04,1841-03-04,Martin Van Buren
1841-03-04,1841-04-04,William Henry Harrison
1841-04-04,1845-03-04,John Tyler
1845-03-04,1849-03-04,James Polk
1849-03-04,1850-07-09,Zachary Taylor
1850-07-09,1853-03-04,Millard Fillmore
1853-03-04,1857-03-04,Franklin Pierce
1857-03-04,1861-03-04,James Buchanan
1861-03-04,1865-04-15,Abraham Lincoln
1865-04-15,1869-03-04,Andrew Johnson
1869-03-04,1877-03-04,Ulysses Grant
1877-03-04,1881-03-04,Rutherford Hays
1881-03-04,1881-09-19,James Garfield
1881-09-19,1885-03-04,Chester Arthur
1885-03-04,1889-03-04,Grover Cleveland
1889-03-04,1893-03-04,Benjamin Harrison
1893-03-04,1897-03-04,Grover Cleveland
1897-03-04,1901-09-14,William McKinley
1901-09-14,1909-03-04,Theodore Roosevelt
1909-03-04,1913-03-04,William Taft
1913-03-04,1921-03-04,Woodrow Wilson
3/4/1921,8/2/1923,Warren Harding
8/2/1923,3/4/1929,Calvin Coolidge
3/4/1929,3/4/1933,Herbert Hoover
3/4/1933,4/12/1945,Franklin Roosevelt
4/12/1945,1/20/1953,Harry Truman
1/20/1953,1/20/1961,Dwight Eisenhower
1/20/1961,11/22/1963,John Kennedy
11/22/1963,1/20/1969,Lyndon Johnson
1/20/1969,8/9/1974,Richard Nixon
8/9/1974,1/20/1977,Gerald Ford
1/20/1977,1/20/1981,Jimmy Carter
1/20/1981,1/20/1989,Ronald Reagan
1/20/1989,1/20/1993,George H. W. Bush
1/20/1993,1/20/2001,Bill Clinton
1/20/2001,1/20/2009,George W. Bush
1/20/2009,1/20/2017,Barack Obama
1/20/2017,,Donald Trump
