Id,Interesting,Comment
841665325682827265,Yes,"Four Fox Business graphics, including ""U. S. MARKETS FROM ELECTION DAY"""
848299191646515202,Yes,video clip of Fox News: CONSUMER CONFIDENCE AT 16-YR HIGH AS DOW SEES LONGEST QUARTERLY WINNING STREAK IN 10 YRS
857930456767111168,No,Wall Street but not stock market
882049782541414400,Yes,Retweet of account now suspended
897878175308546048,Yes,Retweet of account now suspended
912481556127780865,No,Wall Street but not stock market
920425695507042305,Yes,"includes an animation titled “DOW PASSES 23,000 FOR THE FIRST TIME”"
936351772603568130,Yes,
947328044821336070,Yes,
949070800417640454,Yes,Image: DOW MILESTONES
952183452366929920,No,Deleted in favor of 952166643202916352
978368319542702080,Yes,Retweet of CNBC Now: BREAKING: Dow posts third best one-day point gain ever https://cnb.cx/2G6ga8Y
1142430401589403650,No,Deleted in favor of 1142435387496902656
1143134130521219072,No,Deleted in favor of 1143140106557186048
1215285845336502272,No,Deleted in favor of 1215299143066947584
1218692645385535499,No,Deleted in favor of 1218697758728769536
1218695161758322689,No,Deleted in favor of 1218697758728769536
1234690961948758016,Yes,"video clip of Hannity: STOCKS SURGE, BREAK SINGLE-DAY TRADING RECORDS"
