"Pokemon","Move","Qualifier"
"Abomasnow","Powder Snow",""
"Abomasnow","Razor Leaf",""
"Abra","Charge Beam",""
"Abra","Zen Headbutt",""
"Absol","Psycho Cut",""
"Absol","Snarl",""
"Accelgor","Acid",""
"Accelgor","Infestation",""
"Aerodactyl","Bite",""
"Aerodactyl","Rock Throw",""
"Aerodactyl","Steel Wing",""
"Aggron","Dragon Tail",""
"Aggron","Iron Tail",""
"Aggron","Smack Down",""
"Aipom","Astonish",""
"Aipom","Scratch",""
"Alakazam","Confusion",""
"Alakazam","Psycho Cut",""
"Alolan Diglett","Metal Claw",""
"Alolan Diglett","Mud-Slap",""
"Alolan Dugtrio","Metal Claw",""
"Alolan Dugtrio","Mud-Slap",""
"Alolan Exeggutor","Bullet Seed",""
"Alolan Exeggutor","Dragon Tail",""
"Alolan Geodude","Rock Throw",""
"Alolan Geodude","Volt Switch",""
"Alolan Golem","Rock Throw",""
"Alolan Golem","Volt Switch",""
"Alolan Graveler","Rock Throw",""
"Alolan Graveler","Volt Switch",""
"Alolan Grimer","Bite",""
"Alolan Grimer","Poison Jab",""
"Alolan Marowak","Fire Spin",""
"Alolan Marowak","Hex",""
"Alolan Marowak","Rock Smash",""
"Alolan Meowth","Bite",""
"Alolan Meowth","Scratch",""
"Alolan Muk","Bite",""
"Alolan Muk","Poison Jab",""
"Alolan Muk","Snarl",""
"Alolan Ninetales","Charm",""
"Alolan Ninetales","Feint Attack",""
"Alolan Ninetales","Powder Snow",""
"Alolan Persian","Feint Attack",""
"Alolan Persian","Scratch",""
"Alolan Raichu","Spark",""
"Alolan Raichu","Thunder Shock",""
"Alolan Raichu","Volt Switch",""
"Alolan Raticate","Bite",""
"Alolan Raticate","Quick Attack",""
"Alolan Rattata","Quick Attack",""
"Alolan Rattata","Tackle",""
"Alolan Sandshrew","Metal Claw",""
"Alolan Sandshrew","Powder Snow",""
"Alolan Sandslash","Metal Claw",""
"Alolan Sandslash","Powder Snow",""
"Alolan Vulpix","Powder Snow",""
"Alolan Vulpix","Zen Headbutt",""
"Alomomola","Hidden Power",""
"Alomomola","Waterfall",""
"Altaria","Dragon Breath",""
"Altaria","Peck",""
"Altered Forme","Dragon Breath",""
"Altered Forme","Shadow Claw",""
"Ambipom","Astonish",""
"Ambipom","Scratch",""
"Amoonguss","Astonish",""
"Amoonguss","Feint Attack",""
"Ampharos","Charge Beam",""
"Ampharos","Volt Switch",""
"Anorith","Scratch",""
"Anorith","Struggle Bug",""
"Arbok","Acid",""
"Arbok","Bite",""
"Arbok","Dragon Tail",""
"Arcanine","Fire Fang",""
"Arcanine","Snarl",""
"Arcanine","Thunder Fang",""
"Archen","Quick Attack",""
"Archen","Wing Attack",""
"Archeops","Steel Wing",""
"Archeops","Wing Attack",""
"Ariados","Infestation",""
"Ariados","Poison Sting",""
"Armaldo","Fury Cutter",""
"Armaldo","Struggle Bug",""
"Armored Mewtwo","Confusion",""
"Armored Mewtwo","Iron Tail",""
"Aron","Metal Claw",""
"Aron","Tackle",""
"Articuno","Frost Breath",""
"Articuno","Ice Shard",""
"Attack Forme","Poison Jab",""
"Attack Forme","Zen Headbutt",""
"Audino","Pound",""
"Audino","Zen Headbutt",""
"Axew","Iron Tail",""
"Axew","Scratch",""
"Azelf","Confusion",""
"Azelf","Extrasensory",""
"Azumarill","Bubble",""
"Azumarill","Rock Smash",""
"Azurill","Bubble",""
"Azurill","Splash",""
"Bagon","Bite",""
"Bagon","Ember",""
"Baltoy","Confusion",""
"Baltoy","Extrasensory",""
"Banette","Hex",""
"Banette","Shadow Claw",""
"Barboach","Mud Shot",""
"Barboach","Water Gun",""
"Bastiodon","Iron Tail",""
"Bastiodon","Smack Down",""
"Bayleef","Razor Leaf",""
"Bayleef","Tackle",""
"Beartic","Charm",""
"Beartic","Powder Snow",""
"Beautifly","Infestation",""
"Beautifly","Struggle Bug",""
"Beedrill","Infestation",""
"Beedrill","Poison Jab",""
"Beheeyem","Astonish",""
"Beheeyem","Confusion",""
"Beldum","Take Down",""
"Bellossom","Acid",""
"Bellossom","Bullet Seed",""
"Bellossom","Razor Leaf",""
"Bellsprout","Acid",""
"Bellsprout","Vine Whip",""
"Bibarel","Take Down",""
"Bibarel","Water Gun",""
"Bidoof","Tackle",""
"Bidoof","Take Down",""
"Blastoise","Bite",""
"Blastoise","Water Gun",""
"Blaziken","Counter",""
"Blaziken","Fire Spin",""
"Blissey","Pound",""
"Blissey","Zen Headbutt",""
"Blitzle","Quick Attack",""
"Blitzle","Spark",""
"Blue-Striped Form","Tackle",""
"Blue-Striped Form","Water Gun",""
"Boldore","Mud-Slap",""
"Boldore","Smack Down",""
"Bonsly","Counter",""
"Bonsly","Rock Throw",""
"Bouffalant","Mud Shot",""
"Bouffalant","Zen Headbutt",""
"Braviary","Air Slash",""
"Braviary","Steel Wing",""
"Breloom","Bullet Seed",""
"Breloom","Counter",""
"Bronzong","Confusion",""
"Bronzong","Feint Attack",""
"Bronzor","Confusion",""
"Bronzor","Tackle",""
"Budew","Hidden Power",""
"Budew","Razor Leaf",""
"Buizel","Quick Attack",""
"Buizel","Water Gun",""
"Bulbasaur","Tackle",""
