Amendment,State,Date
Congressional Apportionment Amendment,New Jersey,November 10 1789
1,New Jersey,November 10 1789
2,New Jersey,November 10 1789
3,New Jersey,November 10 1789
4,New Jersey,November 10 1789
5,New Jersey,November 10 1789
6,New Jersey,November 10 1789
7,New Jersey,November 10 1789
8,New Jersey,November 10 1789
9,New Jersey,November 10 1789
10,New Jersey,November 10 1789
27,New Jersey,May 7 1992
Congressional Apportionment Amendment,Maryland,December 19 1789
1,Maryland,December 19 1789
2,Maryland,December 19 1789
3,Maryland,December 19 1789
4,Maryland,December 19 1789
5,Maryland,December 19 1789
6,Maryland,December 19 1789
7,Maryland,December 19 1789
8,Maryland,December 19 1789
9,Maryland,December 19 1789
10,Maryland,December 19 1789
27,Maryland,December 19 1789
Congressional Apportionment Amendment,North Carolina,December 22 1789
1,North Carolina,December 22 1789
2,North Carolina,December 22 1789
3,North Carolina,December 22 1789
4,North Carolina,December 22 1789
5,North Carolina,December 22 1789
6,North Carolina,December 22 1789
7,North Carolina,December 22 1789
8,North Carolina,December 22 1789
9,North Carolina,December 22 1789
10,North Carolina,December 22 1789
27,North Carolina,December 22 1789
Congressional Apportionment Amendment,South Carolina,January 19 1790
1,South Carolina,January 19 1790
2,South Carolina,January 19 1790
3,South Carolina,January 19 1790
4,South Carolina,January 19 1790
5,South Carolina,January 19 1790
6,South Carolina,January 19 1790
7,South Carolina,January 19 1790
8,South Carolina,January 19 1790
9,South Carolina,January 19 1790
10,South Carolina,January 19 1790
27,South Carolina,January 19 1790
Congressional Apportionment Amendment,New Hampshire,January 25 1790
1,New Hampshire,January 25 1790
2,New Hampshire,January 25 1790
3,New Hampshire,January 25 1790
4,New Hampshire,January 25 1790
5,New Hampshire,January 25 1790
6,New Hampshire,January 25 1790
7,New Hampshire,January 25 1790
8,New Hampshire,January 25 1790
9,New Hampshire,January 25 1790
10,New Hampshire,January 25 1790
27,New Hampshire,March 7 1985
1,Delaware,January 28 1790
2,Delaware,January 28 1790
3,Delaware,January 28 1790
4,Delaware,January 28 1790
5,Delaware,January 28 1790
6,Delaware,January 28 1790
7,Delaware,January 28 1790
8,Delaware,January 28 1790
9,Delaware,January 28 1790
10,Delaware,January 28 1790
27,Delaware,January 28 1790
Congressional Apportionment Amendment,New York,February 24 1790
1,New York,February 24 1790
2,New York,February 24 1790
3,New York,February 24 1790
4,New York,February 24 1790
5,New York,February 24 1790
6,New York,February 24 1790
7,New York,February 24 1790
8,New York,February 24 1790
9,New York,February 24 1790
10,New York,February 24 1790
1,Pennsylvania,March 10 1790
2,Pennsylvania,March 10 1790
3,Pennsylvania,March 10 1790
4,Pennsylvania,March 10 1790
5,Pennsylvania,March 10 1790
6,Pennsylvania,March 10 1790
7,Pennsylvania,March 10 1790
8,Pennsylvania,March 10 1790
9,Pennsylvania,March 10 1790
10,Pennsylvania,March 10 1790
Congressional Apportionment Amendment,Pennsylvania,September 21 1791
Congressional Apportionment Amendment,Rhode Island,June 7 1790
1,Rhode Island,June 7 1790
2,Rhode Island,June 7 1790
3,Rhode Island,June 7 1790
4,Rhode Island,June 7 1790
5,Rhode Island,June 7 1790
6,Rhode Island,June 7 1790
7,Rhode Island,June 7 1790
8,Rhode Island,June 7 1790
9,Rhode Island,June 7 1790
10,Rhode Island,June 7 1790
27,Rhode Island,June 10 1993
Congressional Apportionment Amendment,Vermont,November 3 1791
1,Vermont,November 3 1791
2,Vermont,November 3 1791
3,Vermont,November 3 1791
4,Vermont,November 3 1791
5,Vermont,November 3 1791
6,Vermont,November 3 1791
7,Vermont,November 3 1791
8,Vermont,November 3 1791
9,Vermont,November 3 1791
10,Vermont,November 3 1791
27,Vermont,November 3 1791
Congressional Apportionment Amendment,Virginia,November 3 1791
1,Virginia,December 15 1791
2,Virginia,December 15 1791
3,Virginia,December 15 1791
4,Virginia,December 15 1791
5,Virginia,December 15 1791
6,Virginia,December 15 1791
7,Virginia,December 15 1791
8,Virginia,December 15 1791
9,Virginia,December 15 1791
10,Virginia,December 15 1791
27,Virginia,December 15 1791
