House Article,Senate Article,Comment,Amendment,Ratified
1,1,Pending ratification,Congressional Apportionment Amendment,N/A
2,2,,27,May 5 1992
3,3,,1,December 15 1791
4,N/A,Combined with House Article 3,N/A,N/A
5,4,,2,December 15 1791
6,5,,3,December 15 1791
7,6,,4,December 15 1791
8,7,,5,December 15 1791
9,8,,6,December 15 1791
10,N/A,Combined with House Article 8,N/A,N/A
11,9,,7,December 15 1791
12,N/A,Combined with House Artlcle 11,N/A,N/A
13,10,,8,December 15 1791
14,N/A,Combined with House Article 3 and 11,N/A,N/A
15,11,,9,December 15 1791
16,N/A,Dropped,N/A,N/A
17,12,,10,December 15 1791
